"id_invoice","tanggal","id_customer","id_barang","jumlah_barang","harga"
IN5997,"2022-01-20",CUST55380,BRG0001,1.0,1169.91
IN6297,"2022-01-20",CUST55381,BRG0002,5.0,2337.5
IN6155,"2022-01-21",CUST55382,BRG0003,9.0,10690.6
IN6144,"2022-01-22",CUST55383,BRG0004,13.0,8700.7
IN6280,"2022-01-23",CUST55384,BRG0005,1.0,5648.3
IN6052,"2022-01-23",CUST55385,BRG0006,5.0,2819.2
IN6089,"2022-01-25",CUST55386,BRG0007,9.0,4592.1
IN6251,"2022-01-23",CUST55387,BRG0008,1.0,3991.9
IN6036,"2022-01-27",CUST55388,BRG0009,23.0,5780.7
IN6029,"2022-01-28",CUST55389,BRG0010,4.0,6940.3
IN6190,"2022-01-23",CUST55390,BRG0001,2.0,1169.91
IN6287,"2022-01-30",CUST55391,BRG0002,17.0,2337.5
IN6102,"2022-01-31",CUST55392,BRG0003,11.318182,10690.6
IN6301,"2022-02-01",CUST55393,BRG0004,11.905595,8700.7
IN6024,"2022-01-27",CUST55394,BRG0005,12.493007,5648.3
IN6184,"2022-01-28",CUST55395,BRG0006,25.0,2819.2
IN6307,"2022-01-23",CUST55396,BRG0007,13.667832,4592.1
IN6245,"2022-01-30",CUST55397,BRG0008,34.0,3991.9
IN6195,"2022-01-31",CUST55398,BRG0009,67.0,5780.7
IN6023,"2022-02-01",CUST55399,BRG0010,15.43007,6940.3
IN6113,"2022-01-27",CUST55400,BRG0001,12.493007,1169.91
IN6141,"2022-01-28",CUST55401,BRG0002,25.0,2337.5
IN6125,"2022-01-23",CUST55402,BRG0003,13.667832,10690.6
IN6176,"2022-01-30",CUST55403,BRG0004,17.77972,8700.7
IN6175,"2022-01-31",CUST55404,BRG0005,18.367132,5648.3
IN6259,"2022-02-01",CUST55405,BRG0006,18.954546,2819.2
IN6173,"2022-01-27",CUST55406,BRG0001,12.493007,4592.1
IN6013,"2022-01-28",CUST55407,BRG0002,25.0,3991.9
IN6086,"2022-01-23",CUST55408,BRG0003,13.667832,5780.7
IN6108,"2022-01-30",CUST55409,BRG0004,21.304195,6940.3
IN6321,"2022-01-31",CUST55410,BRG0001,21.89161,1169.91
IN5994,"2022-02-01",CUST55411,BRG0002,12.493007,2337.5
IN6146,"2022-01-27",CUST55412,BRG0003,25.0,10690.6
IN6230,"2022-01-28",CUST55413,BRG0004,13.667832,8700.7
IN5991,"2022-01-23",CUST55414,BRG0005,24.241259,5648.3
IN6281,"2022-01-30",CUST55415,BRG0006,10.0,2819.2
IN6226,"2022-01-31",CUST55416,BRG0007,23.0,4592.1
IN6063,"2022-02-01",CUST55417,BRG0008,12.0,3991.9
IN6131,"2022-01-27",CUST55418,BRG0009,10.0,5780.7
IN6262,"2022-01-28",CUST55419,BRG0010,67.0,6940.3
IN6028,"2022-01-23",CUST55420,BRG0001,98.0,1169.91
IN6163,"2022-01-30",CUST55421,BRG0002,5.0,2337.5
IN6191,"2022-01-31",CUST55422,BRG0003,4.0,10690.6
IN6274,"2022-02-01",CUST55423,BRG0004,8.0,8700.7
IN6003,"2022-01-27",CUST55424,BRG0005,9.0,5648.3
IN6247,"2022-01-28",CUST55425,BRG0006,10.0,2819.2
IN6311,"2022-01-23",CUST55426,BRG0007,7.0,4592.1
IN6248,"2022-01-30",CUST55427,BRG0008,100.0,3991.9
IN6042,"2022-01-31",CUST55428,BRG0009,67.0,5780.7
IN6133,"2022-02-01",CUST55429,BRG0010,78.0,6940.3
IN6306,"2022-01-27",CUST55430,BRG0001,45.0,1169.91
IN6253,"2022-01-28",CUST55431,BRG0002,34.0,2337.5
IN5980,"2022-01-23",CUST55432,BRG0003,20.0,10690.6
IN6104,"2022-01-30",CUST55433,BRG0004,45.0,8700.7
IN6050,"2022-01-31",CUST55434,BRG0005,34.0,5648.3
IN6054,"2022-02-01",CUST55435,BRG0006,34.0,2819.2
IN6219,"2022-01-27",CUST55436,BRG0001,34.0,4592.1
IN6053,"2022-01-28",CUST55437,BRG0002,44.0,3991.9
IN6217,"2022-01-23",CUST55438,BRG0003,5.0,5780.7
IN6323,"2022-01-30",CUST55439,BRG0004,6.0,6940.3
IN6241,"2022-01-31",CUST55440,BRG0001,79.0,1169.91
IN6134,"2022-02-01",CUST55441,BRG0002,12.0,2337.5
IN6124,"2022-01-27",CUST55442,BRG0003,95.0,10690.6
IN5981,"2022-01-28",CUST55443,BRG0004,76.0,8700.7
IN6220,"2022-01-23",CUST55444,BRG0005,48.0,5648.3
IN6122,"2022-01-30",CUST55445,BRG0006,21.304195,2819.2
IN6255,"2022-01-31",CUST55446,BRG0007,21.89161,4592.1
IN6005,"2022-02-01",CUST55447,BRG0008,12.493007,3991.9
IN6327,"2022-01-27",CUST55448,BRG0009,25.0,5780.7
IN6119,"2022-01-28",CUST55449,BRG0010,13.667832,6940.3
IN6233,"2022-01-23",CUST55450,BRG0001,24.241259,1169.91
IN6235,"2022-01-30",CUST55451,BRG0002,10.0,2337.5
IN6263,"2022-01-31",CUST55452,BRG0003,130.0,10690.6
IN6269,"2022-02-01",CUST55453,BRG0004,12.0,8700.7
IN6188,"2022-01-27",CUST55454,BRG0005,10.0,5648.3
IN6116,"2022-01-28",CUST55455,BRG0006,67.0,2819.2
IN6216,"2022-01-23",CUST55456,BRG0007,98.0,4592.1
IN6099,"2022-01-30",CUST55457,BRG0008,5.0,3991.9
IN6326,"2022-01-31",CUST55458,BRG0009,4.0,5780.7
IN6267,"2022-02-01",CUST55459,BRG0010,8.0,6940.3
IN6238,"2022-01-27",CUST55460,BRG0001,9.0,1169.91
IN6214,"2022-01-28",CUST55461,BRG0002,21.304195,2337.5
IN6318,"2022-01-23",CUST55462,BRG0003,21.89161,10690.6
IN6256,"2022-01-30",CUST55463,BRG0004,12.493007,8700.7
IN6048,"2022-01-31",CUST55464,BRG0005,25.0,5648.3
IN6120,"2022-02-01",CUST55465,BRG0006,13.667832,2819.2
IN6161,"2022-01-27",CUST55466,BRG0001,24.241259,4592.1
IN6292,"2022-01-28",CUST55467,BRG0002,10.0,3991.9
IN6286,"2022-01-23",CUST55468,BRG0003,120.0,5780.7
IN6008,"2022-01-30",CUST55469,BRG0004,12.0,6940.3
IN6040,"2022-01-31",CUST55470,BRG0001,10.0,1169.91
IN6084,"2022-02-01",CUST55471,BRG0002,67.0,2337.5
IN6074,"2022-01-27",CUST55472,BRG0003,98.0,10690.6
IN6200,"2022-01-28",CUST55473,BRG0004,5.0,8700.7
IN6065,"2022-01-23",CUST55474,BRG0005,4.0,5648.3
IN6208,"2022-01-30",CUST55475,BRG0006,8.0,2819.2
IN6148,"2022-01-31",CUST55476,BRG0007,9.0,4592.1
IN6072,"2022-02-01",CUST55477,BRG0008,1.0,3991.9
IN6095,"2022-01-27",CUST55478,BRG0009,5.0,5780.7
IN6049,"2022-01-28",CUST55479,BRG0010,9.0,6940.3
IN6039,"2022-01-23",CUST55480,BRG0001,13.0,1169.91
IN6276,"2022-01-30",CUST55481,BRG0002,1.0,2337.5
IN6015,"2022-01-31",CUST55482,BRG0003,5.0,10690.6
IN6185,"2022-02-01",CUST55483,BRG0004,9.0,8700.7
IN6258,"2022-01-27",CUST55484,BRG0005,1.0,5648.3
IN6070,"2022-01-28",CUST55485,BRG0006,23.0,2819.2
IN6210,"2022-01-23",CUST55486,BRG0007,4.0,4592.1
IN6083,"2022-01-30",CUST55487,BRG0008,2.0,3991.9
IN6322,"2022-01-31",CUST55488,BRG0009,17.0,5780.7
IN6291,"2022-02-01",CUST55489,BRG0010,11.318182,6940.3
IN6062,"2022-01-27",CUST55490,BRG0001,11.905595,1169.91
IN6167,"2022-01-28",CUST55491,BRG0002,12.493007,2337.5
IN6289,"2022-01-23",CUST55492,BRG0003,25.0,10690.6
IN6305,"2022-01-30",CUST55493,BRG0004,13.667832,8700.7
IN6079,"2022-01-31",CUST55494,BRG0005,34.0,5648.3
IN6320,"2022-02-01",CUST55495,BRG0006,67.0,2819.2
IN6103,"2022-01-27",CUST55496,BRG0001,15.43007,4592.1
IN6172,"2022-01-28",CUST55497,BRG0002,12.493007,3991.9
IN6183,"2022-01-23",CUST55498,BRG0003,25.0,5780.7
IN6278,"2022-01-30",CUST55499,BRG0004,13.667832,6940.3
IN6186,"2022-01-31",CUST55500,BRG0001,17.77972,1169.91
IN6211,"2022-02-01",CUST55501,BRG0002,18.367132,2337.5
IN6118,"2022-01-27",CUST55502,BRG0003,18.954546,10690.6
IN6162,"2022-01-28",CUST55503,BRG0004,12.493007,8700.7
IN6221,"2022-01-23",CUST55504,BRG0005,25.0,5648.3
IN6170,"2022-01-30",CUST55505,BRG0006,13.667832,2819.2
IN6045,"2022-01-31",CUST55506,BRG0007,21.304195,4592.1
IN6300,"2022-02-01",CUST55507,BRG0008,21.89161,3991.9
IN6228,"2022-01-27",CUST55508,BRG0009,12.493007,5780.7
IN6199,"2022-01-28",CUST55509,BRG0010,25.0,6940.3
IN6215,"2022-01-23",CUST55510,BRG0001,13.667832,1169.91
IN6107,"2022-01-30",CUST55511,BRG0002,24.241259,2337.5
IN6152,"2022-01-31",CUST55512,BRG0003,10.0,10690.6
IN6017,"2022-02-01",CUST55513,BRG0004,23.0,8700.7
IN6299,"2022-01-27",CUST55514,BRG0005,12.0,5648.3
IN6064,"2022-01-28",CUST55515,BRG0006,10.0,2819.2
IN6308,"2022-01-23",CUST55516,BRG0007,67.0,4592.1
IN6038,"2022-01-30",CUST55517,BRG0008,98.0,3991.9
IN6130,"2022-01-31",CUST55518,BRG0009,5.0,5780.7
IN6293,"2022-02-01",CUST55519,BRG0010,4.0,6940.3
IN6205,"2022-01-27",CUST55520,BRG0001,8.0,1169.91
IN6325,"2022-01-28",CUST55521,BRG0002,9.0,2337.5
IN6317,"2022-01-23",CUST55522,BRG0003,10.0,10690.6
IN6025,"2022-01-30",CUST55523,BRG0004,7.0,8700.7
IN6203,"2022-01-31",CUST55524,BRG0005,100.0,5648.3
IN6243,"2022-02-01",CUST55525,BRG0006,67.0,2819.2
IN6136,"2022-01-27",CUST55526,BRG0001,78.0,4592.1
IN6314,"2022-01-28",CUST55527,BRG0002,45.0,3991.9
IN6202,"2022-01-23",CUST55528,BRG0003,34.0,5780.7
IN6279,"2022-01-30",CUST55529,BRG0004,20.0,6940.3
IN6196,"2022-01-31",CUST55530,BRG0001,45.0,1169.91
IN6266,"2022-02-01",CUST55531,BRG0002,34.0,2337.5
IN6058,"2022-01-27",CUST55532,BRG0003,34.0,10690.6
IN6246,"2022-01-28",CUST55533,BRG0004,34.0,8700.7
IN6242,"2022-01-23",CUST55534,BRG0005,44.0,5648.3
IN5982,"2022-01-30",CUST55535,BRG0006,5.0,2819.2
IN6068,"2022-01-31",CUST55536,BRG0007,6.0,4592.1
IN6128,"2022-02-01",CUST55537,BRG0008,79.0,3991.9
IN6066,"2022-01-27",CUST55538,BRG0009,12.0,5780.7
IN6303,"2022-01-28",CUST55539,BRG0010,95.0,6940.3
IN6284,"2022-01-23",CUST55540,BRG0001,76.0,1169.91
IN6240,"2022-01-30",CUST55541,BRG0002,48.0,2337.5
IN6244,"2022-01-31",CUST55542,BRG0003,21.304195,10690.6
IN6060,"2022-02-01",CUST55543,BRG0004,21.89161,8700.7
IN6254,"2022-02-02",CUST55544,BRG0005,12.493007,5648.3
IN6171,"2022-02-03",CUST55545,BRG0006,25.0,2819.2
IN6002,"2022-02-04",CUST55546,BRG0007,13.667832,4592.1
IN6261,"2022-02-05",CUST55547,BRG0008,24.241259,3991.9
IN6088,"2022-02-06",CUST55548,BRG0009,10.0,5780.7
IN6181,"2022-02-07",CUST55549,BRG0010,130.0,6940.3
IN6135,"2022-02-08",CUST55550,BRG0001,12.0,1169.91
IN5988,"2022-02-09",CUST55551,BRG0002,10.0,2337.5
IN6234,"2022-02-10",CUST55552,BRG0003,67.0,10690.6
IN6319,"2022-02-11",CUST55553,BRG0004,98.0,8700.7
IN6006,"2022-02-12",CUST55554,BRG0005,5.0,5648.3
IN6147,"2022-02-13",CUST55555,BRG0006,4.0,2819.2
IN6129,"2022-02-14",CUST55556,BRG0001,8.0,4592.1
IN5986,"2022-02-15",CUST55557,BRG0002,9.0,3991.9
IN6026,"2022-02-16",CUST55558,BRG0003,21.304195,5780.7
IN6224,"2022-02-17",CUST55559,BRG0004,21.89161,6940.3
IN6087,"2022-02-18",CUST55560,BRG0001,12.493007,1169.91
IN6096,"2022-02-19",CUST55561,BRG0002,25.0,2337.5
IN6034,"2022-02-20",CUST55562,BRG0003,13.667832,10690.6
IN6231,"2022-02-21",CUST55563,BRG0004,24.241259,8700.7
IN6260,"2022-02-22",CUST55564,BRG0005,10.0,5648.3
IN6302,"2022-02-23",CUST55565,BRG0006,120.0,2819.2
IN6061,"2022-02-24",CUST55566,BRG0007,12.0,4592.1
IN6011,"2022-02-25",CUST55567,BRG0008,10.0,3991.9
IN6275,"2022-02-26",CUST55568,BRG0009,67.0,5780.7
IN6114,"2022-02-27",CUST55569,BRG0010,98.0,6940.3
IN6041,"2022-02-28",CUST55570,BRG0001,5.0,1169.91
IN6069,"2022-03-01",CUST55571,BRG0002,4.0,2337.5
IN6239,"2022-03-02",CUST55572,BRG0003,8.0,10690.6
IN6137,"2022-03-03",CUST55573,BRG0004,9.0,8700.7
IN6189,"2022-03-04",CUST55574,BRG0005,1.0,5648.3
IN6229,"2022-03-05",CUST55575,BRG0006,5.0,2819.2
IN6110,"2022-03-06",CUST55576,BRG0007,9.0,4592.1
IN6182,"2022-03-07",CUST55577,BRG0008,13.0,3991.9
IN6164,"2022-03-08",CUST55578,BRG0009,1.0,5780.7
IN6016,"2022-03-09",CUST55579,BRG0010,5.0,6940.3
IN6043,"2022-03-10",CUST55580,BRG0001,9.0,1169.91
IN6020,"2022-03-11",CUST55581,BRG0002,1.0,2337.5
IN6206,"2022-03-12",CUST55582,BRG0003,23.0,10690.6
IN6055,"2022-03-13",CUST55583,BRG0004,4.0,8700.7
IN6092,"2022-03-14",CUST55584,BRG0005,2.0,5648.3
IN6177,"2022-03-15",CUST55585,BRG0006,17.0,2819.2
IN6209,"2022-03-16",CUST55586,BRG0001,11.318182,4592.1
IN6250,"2022-03-17",CUST55587,BRG0002,11.905595,3991.9
IN6193,"2022-03-18",CUST55588,BRG0003,12.493007,5780.7
IN6081,"2022-03-19",CUST55589,BRG0004,25.0,6940.3
IN6149,"2022-03-20",CUST55590,BRG0001,13.667832,1169.91
IN6014,"2022-03-21",CUST55591,BRG0002,34.0,2337.5
IN6290,"2022-03-22",CUST55592,BRG0003,67.0,10690.6
IN6051,"2022-03-23",CUST55593,BRG0004,15.43007,8700.7
IN6076,"2022-03-24",CUST55594,BRG0005,12.493007,5648.3
IN6140,"2022-03-25",CUST55595,BRG0006,25.0,2819.2
IN6080,"2022-03-26",CUST55596,BRG0007,13.667832,4592.1
IN6153,"2022-03-27",CUST55597,BRG0008,17.77972,3991.9
IN5979,"2022-03-28",CUST55598,BRG0009,18.367132,5780.7
IN6098,"2022-03-29",CUST55599,BRG0010,18.954546,6940.3
IN6078,"2022-03-30",CUST55600,BRG0001,12.493007,1169.91
IN6085,"2022-03-31",CUST55601,BRG0002,25.0,2337.5
IN6018,"2022-04-01",CUST55602,BRG0003,13.667832,10690.6
IN6001,"2022-04-02",CUST55603,BRG0004,21.304195,8700.7
IN6271,"2022-04-03",CUST55604,BRG0005,21.89161,5648.3
IN6207,"2022-04-04",CUST55605,BRG0006,12.493007,2819.2
IN6187,"2022-04-05",CUST55606,BRG0007,25.0,4592.1
IN5995,"2022-04-06",CUST55607,BRG0008,13.667832,3991.9
IN6156,"2022-04-07",CUST55608,BRG0009,24.241259,5780.7
IN6232,"2022-04-08",CUST55609,BRG0010,10.0,6940.3
IN5998,"2022-04-09",CUST55610,BRG0001,23.0,1169.91
IN6227,"2022-04-10",CUST55611,BRG0002,12.0,2337.5
IN6027,"2022-04-11",CUST55612,BRG0003,10.0,10690.6
IN6157,"2022-04-12",CUST55613,BRG0004,67.0,8700.7
IN6180,"2022-04-13",CUST55614,BRG0005,98.0,5648.3
IN6257,"2022-04-14",CUST55615,BRG0006,5.0,2819.2
IN6031,"2022-04-15",CUST55616,BRG0001,4.0,4592.1
IN6082,"2022-04-16",CUST55617,BRG0002,8.0,3991.9
IN6174,"2022-04-17",CUST55618,BRG0003,9.0,5780.7
IN6237,"2022-04-18",CUST55619,BRG0004,10.0,6940.3
IN6021,"2022-04-19",CUST55620,BRG0001,7.0,1169.91
IN6056,"2022-04-20",CUST55621,BRG0002,100.0,2337.5
IN5983,"2022-04-21",CUST55622,BRG0003,67.0,10690.6
IN6139,"2022-04-22",CUST55623,BRG0004,78.0,8700.7
IN6126,"2022-04-23",CUST55624,BRG0005,45.0,5648.3
IN6127,"2022-04-24",CUST55625,BRG0006,34.0,2819.2
IN6035,"2022-04-25",CUST55626,BRG0007,20.0,4592.1
IN6309,"2022-04-26",CUST55627,BRG0008,45.0,3991.9
IN6073,"2022-04-27",CUST55628,BRG0009,34.0,5780.7
IN6277,"2022-04-28",CUST55629,BRG0010,34.0,6940.3
IN6197,"2022-04-29",CUST55630,BRG0001,34.0,1169.91
IN6225,"2022-04-30",CUST55631,BRG0002,44.0,2337.5
IN5999,"2022-05-01",CUST55632,BRG0003,5.0,10690.6
IN6223,"2022-05-02",CUST55633,BRG0004,6.0,8700.7
IN6273,"2022-05-03",CUST55634,BRG0005,79.0,5648.3
IN6047,"2022-04-26",CUST55635,BRG0006,12.0,2819.2
IN6071,"2022-04-27",CUST55636,BRG0007,95.0,4592.1
IN6009,"2022-04-28",CUST55637,BRG0008,76.0,3991.9
IN6075,"2022-04-16",CUST55638,BRG0009,48.0,5780.7
IN6218,"2022-04-17",CUST55639,BRG0010,21.304195,6940.3
IN5985,"2022-04-18",CUST55640,BRG0001,21.89161,1169.91
IN6154,"2022-04-19",CUST55641,BRG0002,12.493007,2337.5
IN6145,"2022-04-20",CUST55642,BRG0003,25.0,10690.6
IN6315,"2022-04-21",CUST55643,BRG0004,13.667832,8700.7
IN6168,"2022-05-13",CUST55644,BRG0005,24.241259,5648.3
IN6192,"2022-05-14",CUST55645,BRG0006,10.0,2819.2
IN6285,"2022-05-15",CUST55646,BRG0001,130.0,4592.1
IN6077,"2022-05-16",CUST55647,BRG0002,12.0,3991.9
IN6057,"2022-05-17",CUST55648,BRG0003,10.0,5780.7
IN6252,"2022-05-18",CUST55649,BRG0004,67.0,6940.3
IN6272,"2022-05-19",CUST55650,BRG0001,98.0,1169.91
IN6150,"2022-05-20",CUST55651,BRG0002,5.0,2337.5
IN6298,"2022-05-21",CUST55652,BRG0003,4.0,10690.6
IN6295,"2022-05-22",CUST55653,BRG0004,8.0,8700.7
IN6022,"2022-05-23",CUST55654,BRG0005,9.0,5648.3
IN6090,"2022-05-24",CUST55655,BRG0006,21.304195,2819.2
IN5996,"2022-05-25",CUST55656,BRG0007,21.89161,4592.1
IN6111,"2022-05-26",CUST55657,BRG0008,12.493007,3991.9
IN6194,"2022-04-18",CUST55658,BRG0009,25.0,5780.7
IN5987,"2022-04-19",CUST55659,BRG0010,13.667832,6940.3
IN6313,"2022-04-20",CUST55660,BRG0001,24.241259,1169.91
IN6138,"2022-04-18",CUST55661,BRG0002,10.0,2337.5
IN6316,"2022-04-19",CUST55662,BRG0003,120.0,10690.6
IN6019,"2022-04-20",CUST55663,BRG0004,12.0,8700.7
IN6283,"2022-05-19",CUST55664,BRG0005,10.0,5648.3
IN6169,"2022-05-20",CUST55665,BRG0006,67.0,2819.2
IN6121,"2022-05-21",CUST55666,BRG0007,98.0,4592.1
IN6117,"2022-05-22",CUST55667,BRG0008,5.0,3991.9
IN6201,"2022-05-23",CUST55668,BRG0009,4.0,5780.7
IN6179,"2022-05-24",CUST55669,BRG0010,8.0,6940.3
IN5978,"2022-05-25",CUST55670,BRG0001,9.0,1169.91
IN5993,"2022-05-26",CUST55671,BRG0002,1.0,2337.5
IN6160,"2022-05-27",CUST55672,BRG0003,5.0,10690.6
IN6282,"2022-05-28",CUST55673,BRG0004,9.0,8700.7
IN6093,"2022-05-29",CUST55674,BRG0005,13.0,5648.3
IN6166,"2022-05-30",CUST55675,BRG0006,1.0,2819.2
IN6010,"2022-05-31",CUST55676,BRG0001,5.0,4592.1
IN6100,"2022-06-01",CUST55677,BRG0002,9.0,3991.9
IN6222,"2022-06-02",CUST55678,BRG0003,1.0,5780.7
IN6032,"2022-06-03",CUST55679,BRG0004,23.0,6940.3
IN6198,"2022-06-04",CUST55680,BRG0001,4.0,1169.91
IN6212,"2022-06-05",CUST55681,BRG0002,2.0,2337.5
IN6288,"2022-06-06",CUST55682,BRG0003,17.0,10690.6
IN6059,"2022-06-07",CUST55683,BRG0004,11.318182,8700.7
IN6236,"2022-06-08",CUST55684,BRG0005,11.905595,5648.3
IN6296,"2022-06-09",CUST55685,BRG0006,12.493007,2819.2
IN6324,"2022-06-10",CUST55686,BRG0007,25.0,4592.1
IN6091,"2022-06-11",CUST55687,BRG0008,13.667832,3991.9
IN6033,"2022-06-12",CUST55688,BRG0009,34.0,5780.7
IN6159,"2022-06-13",CUST55689,BRG0010,67.0,6940.3
IN6264,"2022-06-14",CUST55690,BRG0001,15.43007,1169.91
IN6046,"2022-06-15",CUST55691,BRG0002,12.493007,2337.5
IN6268,"2022-06-16",CUST55692,BRG0003,25.0,10690.6
IN6310,"2022-04-30",CUST55693,BRG0004,13.667832,8700.7
IN6044,"2022-05-01",CUST55694,BRG0005,17.77972,5648.3
IN6178,"2022-05-02",CUST55695,BRG0006,18.367132,2819.2
IN6270,"2022-05-03",CUST55696,BRG0007,18.954546,4592.1
IN6123,"2022-06-16",CUST55697,BRG0008,12.493007,3991.9
IN6265,"2022-04-30",CUST55698,BRG0009,25.0,5780.7
IN6158,"2022-05-01",CUST55699,BRG0010,13.667832,6940.3
IN6105,"2022-05-02",CUST55700,BRG0001,21.304195,1169.91
IN6213,"2022-05-03",CUST55701,BRG0002,21.89161,2337.5
IN6109,"2022-06-16",CUST55702,BRG0003,12.493007,10690.6
IN6249,"2022-04-30",CUST55703,BRG0004,25.0,8700.7
IN6067,"2022-05-01",CUST55704,BRG0005,13.667832,5648.3
IN6143,"2022-05-02",CUST55705,BRG0006,24.241259,2819.2
IN5990,"2022-05-03",CUST55706,BRG0001,10.0,4592.1
IN5992,"2022-06-16",CUST55707,BRG0002,23.0,3991.9
IN6132,"2022-04-30",CUST55708,BRG0003,12.0,5780.7
IN6030,"2022-05-01",CUST55709,BRG0004,10.0,6940.3
IN6094,"2022-05-02",CUST55710,BRG0001,67.0,1169.91
IN6294,"2022-05-03",CUST55711,BRG0002,98.0,2337.5
IN6012,"2022-06-16",CUST55712,BRG0003,5.0,10690.6
IN6106,"2022-04-30",CUST55713,BRG0004,4.0,8700.7
IN5984,"2022-05-01",CUST55714,BRG0005,8.0,5648.3
IN6007,"2022-05-02",CUST55715,BRG0006,9.0,2819.2
IN6115,"2022-05-03",CUST55716,BRG0007,10.0,4592.1
IN6000,"2022-06-16",CUST55717,BRG0008,7.0,3991.9
IN6097,"2022-04-30",CUST55718,BRG0009,100.0,5780.7
IN5989,"2022-05-01",CUST55719,BRG0010,67.0,6940.3
IN6151,"2022-05-02",CUST55720,BRG0001,78.0,1169.91
IN6037,"2022-05-03",CUST55721,BRG0002,45.0,2337.5
IN6165,"2022-06-16",CUST55722,BRG0003,34.0,10690.6
IN6101,"2022-04-30",CUST55723,BRG0004,20.0,8700.7
IN6142,"2022-05-01",CUST55724,BRG0005,45.0,5648.3
IN6312,"2022-05-02",CUST55725,BRG0006,34.0,2819.2
IN6112,"2022-05-03",CUST55726,BRG0007,34.0,4592.1
IN6204,"2022-06-16",CUST55727,BRG0008,34.0,3991.9
IN6304,"2022-04-30",CUST55728,BRG0009,44.0,5780.7
IN6004,"2022-05-01",CUST55729,BRG0010,5.0,6940.3
